state,statefip,cbsa,cbsacode,metpop10,cbsacity,cbsacitypop,pumaname,pumanum,pumapop,pumacity,pumacitypop,geodensity,simpledensity,princity,princitypop,altmetro
AK,2,"Anchorage, AK",11260,380821,Anchorage,291247,"Anchorage Municipality (North) PUMA, Alaska",101,134554,N Anchorage,,1705,130,Anchorage,291247,5 Core City
AK,2,"Anchorage, AK",11260,380821,Anchorage,291247,"Anchorage Municipality (South) PUMA, Alaska",102,157536,S Anchorage,,2475,236,Anchorage,291247,5 Core City
AK,2,"Anchorage, AK",11260,181764,Anchorage,291247,"Matanuska-Susitna & Kenai Peninsula Boroughs PUMA, Alaska",200,166169,Knik-Fairview,19297,69,4,Knik-Fairview,19297,2 Town
AK,2,Not in a CBSA,,45883,Juneau,32255,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA; Alaska",300,167036,Juneau,32255,74,2,Juneau,32255,2 Town
AK,2,Not in a CBSA,,7776,Not in a CBSA,,"Subsistence Alaska PUMA, Alaska",400,111695,Sitka,8458,3,0,No Principal City,,1 Rural
AL,1,"Florence-Muscle Shoals, AL",22520,106154,Florence,40184,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",100,186731,Florence,40184,232,89,Florence,40184,2 Town
AL,1,"Huntsville, AL",26620,417593,Huntsville,215006,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",200,197583,Athens,25406,225,187,No Principal City,,2 Town
AL,1,"Huntsville, AL",26620,417593,Huntsville,215006,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",301,133641,N Huntsville (E Madison),,1569,1417,Huntsville,215006,5 Core City
AL,1,"Huntsville, AL",26620,417593,Huntsville,215006,"Huntsville City (Central & South) PUMA, Alabama",302,102450,C & S Huntsville,,1918,1637,Huntsville,215006,5 Core City
AL,1,"Scottsboro, AL",42460,62817,Scottsboro,15578,"DeKalb & Jackson Counties PUMA, Alabama",400,123195,Scottsboro,15578,87,66,Scottsboro,15578,1 Rural
AL,1,"Albertville, AL",10700,128274,Albertville,22386,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",500,127070,Albertville,22386,218,173,Albertville,22386,2 Town
AL,1,"Decatur, AL",19460,153829,Decatur,57938,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",600,152321,Decatur,57938,304,120,Decatur,57938,3 Small City
AL,1,"Cullman, AL",18980,60918,Cullman,18213,"Cullman & Winston Counties PUMA, Alabama",700,107057,Cullman,18213,113,79,Cullman,18213,2 Town
AL,1,"Birmingham-Hoover, AL",13820,1128047,Birmingham,200733,"St. Clair & Blount Counties PUMA, Alabama",800,146986,Pell City,12939,135,114,No Principal City,,1 Rural
AL,1,"Gadsden, AL",23460,104430,Gadsden,33945,"Etowah County PUMA, Alabama",900,102721,Gadsden,33945,357,192,Gadsden,33945,2 Town
AL,1,"Talladega-Sylacauga, AL",45180,44421,Talladega,15861,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",1000,157248,Talladega,15861,89,52,Talladega,15861,2 Town
AL,1,"Anniston-Oxford, AL",11500,118572,Anniston,21564,"Calhoun County PUMA, Alabama",1100,114324,Anniston,21564,365,189,Anniston,21564,2 Town
